SOG,Duration
12.564894,567
12.564894,567
12.647966,591
12.663718,559
13.282657,541
10.538032,681
13.01418,543
12.305017,576
14.395626,502
14.194589,498
11.655803,632
9.666925,643
12.406854,568
13.226825,588
14.091213,477
12.425932,593
11.727914,651
13.382407,539
14.293663,507
13.408865,565
11.253768,688
13.215,537
9.98035,743
11.979074,582
9.889254,676
10.845227,639
10.620552,651
10.149367,711
9.318794,712
9.858146,668
9.687168,678
10.95254,629
12.167487,568
11.220455,615
13.752745,522
13.752745,522
13.752745,522
8.938575,743
9.420774,697
14.175299,504
14.175299,504
10.888216,610
10.54375,623
12.806066,543
10.549289,634
11.819063,619
11.896923,585
13.358918,499
12.233452,561
11.632776,605
10.344765,679
12.70868,552
13.418165,534
11.445077,657
15.009202,488
12.005842,582
10.849296,658
11.538731,600
10.566414,791
14.48381,479
14.412069,461
12.207241,583
12.207241,583
12.207241,583
14.703151,476
14.703151,476
14.703151,476
13.464436,524
13.464436,524
13.464436,524
12.298734,553
12.298734,553
12.298734,553
13.756751,510
13.756751,510
13.756751,510
11.970588,578
11.970588,578
11.970588,578
15.432184,772
13.078695,520
13.078695,520
13.078695,520
12.886314,555
12.886314,555
12.886314,555
11.814974,582
11.814974,582
11.814974,582
11.736897,579
15.48061,457
14.077126,493
10.082667,600
14.633133,497
12.636731,569
8.369388,736
14.580263,455
10.797674,732
13.643238,524
11.353394,665
13.857642,457
13.043303,544
13.932544,506
15.346073,455
14.324731,557
9.567942,757
14.081349,503
11.684805,706
12.810488,554
10.789747,676
11.808582,537
11.808582,537
11.953887,568
12.840402,546
13.065027,548
11.715141,600
12.475395,572
12.311414,588
13.425741,539
11.849623,535
12.198103,585
14.403644,493
10.983564,650
10.15175,802
13.623946,523
12.767686,522
14.441916,507
12.966959,532
15.032075,483
13.077005,545
12.365957,585
13.311765,528
11.480696,635
13.523372,523
13.523372,523
13.556157,541
13.556157,541
13.556157,541
13.393536,525
13.287079,539
13.368529,536
11.498901,638
12.030703,582
12.167462,588
12.600175,570
10.535302,729
10.446508,586
13.335258,486
11.978254,607
13.261338,540
12.153166,683
13.673512,520
10.004805,770
11.487736,636
10.764286,800
8.769184,788
14.398312,473
10.589193,769
11.0812,638
11.045833,647
12.850725,555
13.51881,535
11.482775,635
14.681687,485
13.523372,523
13.149908,544
13.140556,544
15.29957,465
14.374899,493
12.320906,574
13.158733,523
13.226667,540
11.957947,603
15.902752,436
16.109113,419
12.678876,586
13.626614,512
14.340927,495
15.498391,439
13.918787,528
14.032996,498
14.656739,461
15.471396,438
12.737258,568
14.517672,464
11.529935,774
13.212567,557
13.833205,521
11.423444,690
11.154659,729
12.00922,586
14.514222,490
15.30604,447
14.767603,462
14.810022,491
14.719172,458
14.150272,550
13.765762,478
11.138926,596
12.414286,530
12.105529,632
12.217212,580
13.224506,506
14.458298,469
14.027961,517
10.452638,776
13.797972,493
13.710698,511
12.312288,612
12.440829,626
12.335726,601
12.335726,601
14.155936,496
14.155936,496
10.575,631
15.443848,446
13.965759,513
12.47483,588
11.982428,551
13.19606,532
14.605308,470
16.315815,409
13.455218,528
14.265377,492
12.495979,571
13.409926,553
11.863773,608
11.219501,685
14.039484,504
12.410673,609
13.498704,539
12.518843,604
13.327374,536
11.494146,631
12.161003,623
14.184133,511
12.726667,554
14.583412,498
14.580128,477
13.236872,533
11.679024,613
13.868763,498
15.174672,457
13.666263,494
10.803743,668
12.781784,526
11.421963,600
14.024385,487
10.296862,700
15.264425,460
14.321272,502
12.277349,597
12.751776,537
13.854806,495
11.939257,642
15.066806,478
14.356275,493
13.282411,505
14.161373,517
12.620718,619
15.558916,442
12.758812,523
12.121327,609
13.133395,542
14.454508,487
11.066715,698
15.561538,441
10.029322,595
14.841509,477
11.51562,623
12.80125,559
11.50938,692
11.090743,713
13.927049,488
12.73447,558
16.164037,430
12.160677,678
12.420069,579
9.818306,675
9.913478,690
10.460322,746
10.049934,757
12.161993,592
11.21626,588
13.54,525
7.223984,773
13.375145,518
15.150106,472
13.540726,496
11.466779,594
13.246124,515
11.569622,609
11.786872,616
12.024831,599
15.408261,466
11.31399,642
14.0192,499
10.981846,649
10.850762,655
11.07907,646
9.895742,727
10.257917,723
11.068819,635
11.158983,629
8.665677,800
8.995541,803
9.166773,789
10.78552,664
13.4125,548
11.87651,610
11.895042,595
10.087518,711
10.087518,711
11.943193,605
11.943193,605
11.943193,605
11.518669,616
11.518669,616
9.018908,750
9.018908,750
9.018908,750
12.24641,570
9.083824,748
10.201138,703
10.201138,703
10.201138,703
9.705487,728
8.984244,786
10.305324,694
10.305324,694
10.305324,694
9.263928,778
9.263928,778
9.4654,762
9.4654,762
11.699357,621
8.809963,802
14.066934,498
13.944509,521
