TotalDistance,Duration,Direct
381.594012,1517,0
391.92229,1192,1
373.163066,2111,1
383.990966,2450,1
389.542881,1178,1
396.253928,1522,1
427.620185,2554,0
404.358387,1773,0
383.572084,2331,1
403.516446,1417,0
510.315603,17028,0
368.80525,1973,1
384.947378,2231,1
447.411672,4556,0
360.60874,2530,1
478.579369,10263,0
410.174573,2264,0
400.370969,2134,1
394.867094,1932,1
380.556575,1144,1
1330.250755,11331,0
397.647378,1838,1
394.759578,1616,1
393.204533,1857,1
394.860651,1599,0
386.493994,1569,1
472.344826,8257,0
378.689339,1867,1
549.814444,5568,0
690.537184,6970,0
364.531299,1903,1
466.315824,8634,0
465.414853,4530,0
411.864299,2096,0
532.769633,4625,0
408.384172,1968,0
517.416489,2794,0
412.750735,2394,0
529.548259,3296,0
399.285711,1764,0
532.83059,3531,0
411.273773,2046,0
387.385111,1448,1
405.869934,2584,1
1388.548868,15898,0
373.545268,2531,1
389.304857,1888,1
392.97736,1345,1
628.969926,6630,0
394.497444,2424,1
386.125165,1953,1
384.206625,1507,1
380.87078,1307,1
388.066932,1300,1
395.194369,1742,1
395.918761,1439,1
397.721709,1878,1
385.096323,1869,1
377.838392,1267,1
380.977941,1405,1
384.931165,1881,1
389.387076,1280,1
387.335343,1335,1
396.664626,1454,1
393.153054,1568,1
378.73169,1243,1
385.742491,1411,1
371.626672,3635,1
391.739948,1668,1
390.546757,1519,1
390.023649,1518,1
394.815357,1834,1
393.317097,1669,1
396.553746,2021,1
391.028587,2012,1
1016.276732,10500,0
393.352347,2003,1
390.74396,1978,1
384.046057,1409,1
388.646431,1854,1
381.11084,2244,1
387.301429,1905,1
390.962345,2054,1
393.734383,1766,1
387.449975,1612,1
383.480874,1590,1
387.592288,1616,1
386.263305,1456,1
386.431949,1484,1
388.926528,1302,1
376.615437,1333,1
515.258768,4559,0
199.101439,2594,1
388.905226,1518,1
395.407514,1343,1
404.023115,1902,0
400.041079,1382,0
395.144572,1362,1
387.627993,2402,1
437.317633,7710,0
396.160688,2247,1
395.74738,1820,1
399.067807,2232,1
392.6773,2048,1
